city,year,weekofyear,total_cases
sj,2012,49,34
sj,2012,50,32
sj,2012,51,31
sj,2013,1,17
sj,2013,2,16
sj,2013,3,19
sj,2013,4,15
sj,2013,5,18
sj,2013,6,16
sj,2013,7,14
sj,2013,8,14
sj,2013,9,12
sj,2013,10,12
sj,2013,11,11
sj,2013,12,10
sj,2013,13,12
sj,2013,14,13
sj,2013,15,14
sj,2013,16,23
sj,2013,17,21
iq,2010,26,14
iq,2010,27,13
iq,2010,28,15
iq,2010,29,12
iq,2010,30,44
iq,2010,31,15
iq,2010,32,50
iq,2010,33,17
iq,2010,34,17
iq,2010,35,35
iq,2010,36,35
iq,2010,37,39
iq,2010,38,41
iq,2010,39,21
iq,2010,40,21
iq,2010,41,45
iq,2010,42,46
iq,2010,43,46
iq,2010,44,46
iq,2010,45,46
iq,2010,46,226
iq,2010,47,42
iq,2010,48,42
iq,2010,49,47
iq,2010,50,41
iq,2010,51,40
iq,2011,52,40
iq,2011,1,33
iq,2011,2,33
iq,2011,3,33
iq,2011,4,39
iq,2011,5,19
iq,2011,6,17
iq,2011,7,19
iq,2011,8,104
iq,2011,9,117
iq,2011,10,132
iq,2011,11,132
iq,2011,12,34
iq,2011,13,132
iq,2011,14,35
iq,2011,15,12
iq,2011,16,34
iq,2011,17,35
iq,2011,18,34
iq,2011,19,12
iq,2011,20,12
iq,2011,21,12
iq,2011,22,13
iq,2011,23,12
iq,2011,24,15
iq,2011,25,12
iq,2011,26,13
iq,2011,27,12
iq,2011,28,22
iq,2011,29,21
iq,2011,30,20
iq,2011,31,21
iq,2011,32,25
iq,2011,33,22
iq,2011,34,21
iq,2011,35,24
iq,2011,36,22
iq,2011,37,20
iq,2011,38,20
iq,2011,39,23
iq,2011,40,23
iq,2011,41,22
iq,2011,42,30
iq,2011,43,25
iq,2011,44,23
iq,2011,45,34
iq,2011,46,29
iq,2011,47,29
iq,2011,48,34
iq,2011,49,34
iq,2011,50,38
iq,2011,51,34
iq,2012,52,33
iq,2012,1,13
iq,2012,2,13
iq,2012,3,13
iq,2012,4,12
iq,2012,5,12
iq,2012,6,10
iq,2012,7,10
iq,2012,8,9
iq,2012,9,10
iq,2012,10,10
iq,2012,11,9
iq,2012,12,9
iq,2012,13,12
iq,2012,14,9
iq,2012,15,10
iq,2012,16,10
iq,2012,17,10
iq,2012,18,11
iq,2012,19,9
iq,2012,20,9
iq,2012,21,9
iq,2012,22,9
iq,2012,23,9
iq,2012,24,9
iq,2012,25,9
iq,2012,26,9
iq,2012,27,9
iq,2012,28,9
iq,2012,29,9
iq,2012,30,9
iq,2012,31,9
iq,2012,32,9
iq,2012,33,9
iq,2012,34,9
iq,2012,35,9
iq,2012,36,9
iq,2012,37,9
iq,2012,38,9
iq,2012,39,9
iq,2012,40,11
iq,2012,41,12
iq,2012,42,11
iq,2012,43,10
iq,2012,44,19
iq,2012,45,14
iq,2012,46,10
iq,2012,47,17
iq,2012,48,16
iq,2012,49,26
iq,2012,50,20
iq,2012,51,13
iq,2013,1,10
iq,2013,2,10
iq,2013,3,12
iq,2013,4,10
iq,2013,5,9
iq,2013,6,10
iq,2013,7,10
iq,2013,8,10
iq,2013,9,10
iq,2013,10,12
iq,2013,11,10
iq,2013,12,10
iq,2013,13,10
iq,2013,14,12
iq,2013,15,10
iq,2013,16,10
iq,2013,17,12
iq,2013,18,9
iq,2013,19,9
iq,2013,20,10
iq,2013,21,9
iq,2013,22,9
iq,2013,23,9
iq,2013,24,9
iq,2013,25,9
iq,2013,26,9
