city,year,weekofyear,total_cases
sj,2011,45,32
sj,2011,46,46
sj,2011,47,50
sj,2011,48,32
sj,2011,49,33
sj,2011,50,36
sj,2011,51,19
sj,2012,52,19
sj,2012,1,6
sj,2012,2,9
sj,2012,3,6
sj,2012,4,7
sj,2012,5,7
sj,2012,6,8
sj,2012,7,6
sj,2012,8,8
sj,2012,9,0
sj,2012,10,2
sj,2012,11,3
sj,2012,12,4
sj,2012,13,1
sj,2012,14,0
sj,2012,15,1
sj,2012,16,0
sj,2012,17,2
sj,2012,18,1
sj,2012,19,7
sj,2012,20,6
sj,2012,21,7
sj,2012,22,8
sj,2012,23,13
sj,2012,24,18
sj,2012,25,38
sj,2012,26,37
sj,2012,27,46
sj,2012,28,57
sj,2012,29,45
sj,2012,30,66
sj,2012,31,58
sj,2012,32,67
sj,2012,33,81
sj,2012,34,81
sj,2012,35,79
sj,2012,36,73
sj,2012,37,70
sj,2012,38,62
sj,2012,39,74
sj,2012,40,67
sj,2012,41,68
sj,2012,42,67
sj,2012,43,67
sj,2012,44,79
sj,2012,45,61
sj,2012,46,75
sj,2012,47,79
sj,2012,48,77
sj,2012,49,72
sj,2012,50,53
sj,2012,51,46
sj,2013,1,11
sj,2013,2,10
sj,2013,3,9
sj,2013,4,6
sj,2013,5,4
sj,2013,6,6
sj,2013,7,7
sj,2013,8,7
sj,2013,9,2
sj,2013,10,1
sj,2013,11,5
sj,2013,12,2
sj,2013,13,2
sj,2013,14,1
sj,2013,15,3
sj,2013,16,4
sj,2013,17,3
iq,2010,26,3
iq,2010,27,2
iq,2010,28,3
iq,2010,29,2
iq,2010,30,2
iq,2010,31,4
iq,2010,32,2
iq,2010,33,2
iq,2010,34,3
iq,2010,35,2
iq,2010,36,1
iq,2010,37,3
iq,2010,38,4
iq,2010,39,3
iq,2010,40,6
iq,2010,41,6
iq,2010,42,9
iq,2010,43,10
iq,2010,44,14
iq,2010,45,13
iq,2010,46,8
iq,2010,47,12
iq,2010,48,11
iq,2010,49,11
iq,2010,50,16
iq,2010,51,10
iq,2011,52,7
iq,2011,1,5
iq,2011,2,4
iq,2011,3,4
iq,2011,4,2
iq,2011,5,2
iq,2011,6,3
iq,2011,7,2
iq,2011,8,4
iq,2011,9,5
iq,2011,10,3
iq,2011,11,3
iq,2011,12,4
iq,2011,13,3
iq,2011,14,5
iq,2011,15,5
iq,2011,16,3
iq,2011,17,4
iq,2011,18,4
iq,2011,19,4
iq,2011,20,4
iq,2011,21,3
iq,2011,22,4
iq,2011,23,4
iq,2011,24,3
iq,2011,25,4
iq,2011,26,3
iq,2011,27,3
iq,2011,28,3
iq,2011,29,3
iq,2011,30,3
iq,2011,31,2
iq,2011,32,3
iq,2011,33,2
iq,2011,34,3
iq,2011,35,2
iq,2011,36,2
iq,2011,37,1
iq,2011,38,3
iq,2011,39,3
iq,2011,40,4
iq,2011,41,5
iq,2011,42,7
iq,2011,43,9
iq,2011,44,11
iq,2011,45,11
iq,2011,46,8
iq,2011,47,9
iq,2011,48,8
iq,2011,49,8
iq,2011,50,5
iq,2011,51,8
iq,2012,52,12
iq,2012,1,6
iq,2012,2,6
iq,2012,3,7
iq,2012,4,5
iq,2012,5,5
iq,2012,6,5
iq,2012,7,6
iq,2012,8,4
iq,2012,9,6
iq,2012,10,6
iq,2012,11,6
iq,2012,12,4
iq,2012,13,4
iq,2012,14,5
iq,2012,15,4
iq,2012,16,7
iq,2012,17,4
iq,2012,18,6
iq,2012,19,5
iq,2012,20,5
iq,2012,21,4
iq,2012,22,4
iq,2012,23,4
iq,2012,24,6
iq,2012,25,4
iq,2012,26,4
iq,2012,27,4
iq,2012,28,4
iq,2012,29,4
iq,2012,30,4
iq,2012,31,4
iq,2012,32,2
iq,2012,33,2
iq,2012,34,4
iq,2012,35,2
iq,2012,36,1
iq,2012,37,2
iq,2012,38,2
iq,2012,39,3
iq,2012,40,3
iq,2012,41,6
iq,2012,42,7
iq,2012,43,7
iq,2012,44,7
iq,2012,45,11
iq,2012,46,8
iq,2012,47,8
iq,2012,48,13
iq,2012,49,11
iq,2012,50,9
iq,2012,51,10
iq,2013,1,6
iq,2013,2,5
iq,2013,3,5
iq,2013,4,6
iq,2013,5,5
iq,2013,6,3
iq,2013,7,4
iq,2013,8,5
iq,2013,9,6
iq,2013,10,7
iq,2013,11,5
iq,2013,12,4
iq,2013,13,6
iq,2013,14,6
iq,2013,15,5
iq,2013,16,6
iq,2013,17,7
iq,2013,18,4
iq,2013,19,5
iq,2013,20,6
iq,2013,21,6
iq,2013,22,4
iq,2013,23,5
iq,2013,24,5
iq,2013,25,4
iq,2013,26,3
