city,year,weekofyear,total_cases
sj,2011,48,27
sj,2011,49,25
sj,2011,50,28
sj,2011,51,27
sj,2012,52,25
sj,2012,1,21
sj,2012,2,23
sj,2012,3,21
sj,2012,4,21
sj,2012,5,18
sj,2012,6,15
sj,2012,7,13
sj,2012,8,12
sj,2012,9,7
sj,2012,10,9
sj,2012,11,8
sj,2012,12,9
sj,2012,13,8
sj,2012,14,6
sj,2012,15,4
sj,2012,16,8
sj,2012,17,7
sj,2012,18,8
sj,2012,19,11
sj,2012,20,11
sj,2012,21,12
sj,2012,22,12
sj,2012,23,13
sj,2012,24,16
sj,2012,25,16
sj,2012,26,18
sj,2012,27,16
sj,2012,28,23
sj,2012,29,20
sj,2012,30,22
sj,2012,31,21
sj,2012,32,20
sj,2012,33,28
sj,2012,34,28
sj,2012,35,30
sj,2012,36,28
sj,2012,37,29
sj,2012,38,28
sj,2012,39,29
sj,2012,40,29
sj,2012,41,30
sj,2012,42,31
sj,2012,43,32
sj,2012,44,32
sj,2012,45,26
sj,2012,46,31
sj,2012,47,32
sj,2012,48,31
sj,2012,49,34
sj,2012,50,35
sj,2012,51,32
sj,2013,1,32
sj,2013,2,29
sj,2013,3,29
sj,2013,4,26
sj,2013,5,26
sj,2013,6,24
sj,2013,7,19
sj,2013,8,17
sj,2013,9,14
sj,2013,10,16
sj,2013,11,10
sj,2013,12,13
sj,2013,13,8
sj,2013,14,4
sj,2013,15,10
sj,2013,16,5
sj,2013,17,7
iq,2010,26,5
iq,2010,27,5
iq,2010,28,5
iq,2010,29,4
iq,2010,30,5
iq,2010,31,5
iq,2010,32,4
iq,2010,33,5
iq,2010,34,5
iq,2010,35,4
iq,2010,36,4
iq,2010,37,3
iq,2010,38,3
iq,2010,39,2
iq,2010,40,3
iq,2010,41,3
iq,2010,42,3
iq,2010,43,4
iq,2010,44,4
iq,2010,45,4
iq,2010,46,5
iq,2010,47,5
iq,2010,48,6
iq,2010,49,6
iq,2010,50,6
iq,2010,51,6
iq,2011,52,6
iq,2011,1,5
iq,2011,2,5
iq,2011,3,5
iq,2011,4,5
iq,2011,5,5
iq,2011,6,5
iq,2011,7,5
iq,2011,8,5
iq,2011,9,5
iq,2011,10,6
iq,2011,11,5
iq,2011,12,6
iq,2011,13,6
iq,2011,14,6
iq,2011,15,6
iq,2011,16,7
iq,2011,17,8
iq,2011,18,8
iq,2011,19,6
iq,2011,20,7
iq,2011,21,7
iq,2011,22,7
iq,2011,23,6
iq,2011,24,6
iq,2011,25,5
iq,2011,26,5
iq,2011,27,5
iq,2011,28,3
iq,2011,29,3
iq,2011,30,3
iq,2011,31,3
iq,2011,32,3
iq,2011,33,2
iq,2011,34,2
iq,2011,35,1
iq,2011,36,2
iq,2011,37,3
iq,2011,38,2
iq,2011,39,2
iq,2011,40,3
iq,2011,41,3
iq,2011,42,4
iq,2011,43,3
iq,2011,44,4
iq,2011,45,5
iq,2011,46,6
iq,2011,47,7
iq,2011,48,7
iq,2011,49,8
iq,2011,50,7
iq,2011,51,8
iq,2012,52,8
iq,2012,1,6
iq,2012,2,6
iq,2012,3,6
iq,2012,4,6
iq,2012,5,6
iq,2012,6,6
iq,2012,7,6
iq,2012,8,6
iq,2012,9,5
iq,2012,10,5
iq,2012,11,5
iq,2012,12,5
iq,2012,13,6
iq,2012,14,5
iq,2012,15,6
iq,2012,16,6
iq,2012,17,5
iq,2012,18,6
iq,2012,19,5
iq,2012,20,5
iq,2012,21,5
iq,2012,22,5
iq,2012,23,5
iq,2012,24,4
iq,2012,25,5
iq,2012,26,5
iq,2012,27,3
iq,2012,28,4
iq,2012,29,4
iq,2012,30,2
iq,2012,31,3
iq,2012,32,3
iq,2012,33,2
iq,2012,34,2
iq,2012,35,3
iq,2012,36,2
iq,2012,37,3
iq,2012,38,2
iq,2012,39,3
iq,2012,40,2
iq,2012,41,3
iq,2012,42,3
iq,2012,43,4
iq,2012,44,5
iq,2012,45,5
iq,2012,46,6
iq,2012,47,7
iq,2012,48,7
iq,2012,49,8
iq,2012,50,9
iq,2012,51,9
iq,2013,1,8
iq,2013,2,7
iq,2013,3,7
iq,2013,4,8
iq,2013,5,7
iq,2013,6,8
iq,2013,7,7
iq,2013,8,7
iq,2013,9,7
iq,2013,10,7
iq,2013,11,7
iq,2013,12,8
iq,2013,13,8
iq,2013,14,8
iq,2013,15,8
iq,2013,16,8
iq,2013,17,7
iq,2013,18,6
iq,2013,19,7
iq,2013,20,6
iq,2013,21,6
iq,2013,22,7
iq,2013,23,6
iq,2013,24,5
iq,2013,25,5
iq,2013,26,5
